Location,coordinates,Lat,Long,Donut
federal donuts,"39.9632346,-75.1743105",39.9632346,-75.1743105,
Cake Life Bake Shop,"39.9704806,-75.1345425",39.9704806,-75.1345425,
Dotties,"39.9543035,-75.1971976",39.9543035,-75.1971976,
Beiler's Donuts,"39.9543035,-75.1971976",39.9543035,-75.1971976,
Sweet Freedom Donuts,"39.943624, -75.1686",39.943624,-75.1686477,
Dunkin',"39.9482852,-75.1643844",39.9482852,-75.1643844,
Sweet Nectar Dessert,"39.9639012,-75.1729854",39.9639012,-75.1729854,
One Shot Coffee,"39.9677073,-75.1428425",39.9677073,-75.1428425,baby kronut
La Calenita Bakery,"40.02817,-75.1325717",40.0281672,-75.1325717,
Frangelli's Bakery,"39.9196767,-75.1641688",39.9196767,-75.1641688,
Swiss Haus,"39.9507452,-75.1723566",39.9507452,-75.1723566,
Okie Dokie Donuts,"39.9245669,-75.1727322",39.9245669,-75.1727322,
Flow State Coffee Bar,"39.9818782,-75.1292481",39.9818782,-75.1292481,
Haegele's Bakery,"40.0263686,-75.0593553",40.0263686,-75.0593553,
Slice,"39.9570359,-75.1608776",39.9570359,-75.1608776,
Buddakan,"39.949088,-75.1493427",39.949088,-75.1493427,
Acme,"39.943637,-75.1627346",39.943637,-75.1627346,
Fresh Donuts,"39.9194661,-75.1873115",39.9194661,-75.1873115,
Baker Brothers,"39.9194714,-75.1544808",39.9194714,-75.1544808,
Café Roma Bakery,"40.0349262,-75.2187666",40.0349262,-75.2187666,
Quality Donuts,"40.0341403,-75.1789696",40.0341403,-75.1789696,
Golden Donuts,"39.9387995,-75.1577484",39.9387995,-75.1577484,
Hong Kong Bakery,"39.9552778,-75.1549961",39.9552778,-75.1549961,
El Merkury,"39.9521626,-75.1780365",39.9521626,-75.1780365,
Suraya,"39.9736966,-75.1361315",39.9736966,-75.1361315,
WaWa,"39.9623537,-75.1730251",39.9623537,-75.1730251,
Lipkin's Bakery,"40.0620786,-75.0576535",40.0620786,-75.0576535,
Hallo Donuts,"39.984403,-75.1266028",39.984403,-75.1266028,
Factory Donuts,"40.035104,-75.0467547",40.035104,-75.0467547,
